Version,"3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799"
Class,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement
Mode,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan
Group,"","","","","","","","","","","","","","","","","",""
DUT Type,"","","","","","","","","","","","","","","","","",""
DUT Manufacturer,"","","","","","","","","","","","","","","","","",""
DUT Model,"","","","","","","","","","","","","","","","","",""
DUT Serial Number,"","","","","","","","","","","","","","","","","",""
DUT Lot,"","","","","","","","","","","","","","","","","",""
Part Number,"","","","","","","","","","","","","","","","","",""
820,9.15967486149948E-05,9.07398500062737E-05,0.000114973171167229,0.000125499999195658,0.000137487210959644,0.000136997064955455,0.000152814956259873,0.00015448647981262,0.000155589936714358,0.00016816281011412,0.000164643813160968,0.000166026276249706,0.000230222340479566,0.000229858515267644,0.000229196115841169,0.000234649082548406,0.000244407645527734,0.000242651104191455
821,5.36278396014532E-05,8.02225559040298E-05,0.000110950857739828,0.000120183294372585,0.000120627744276132,0.000121597453156596,0.000134385489017724,0.000141718912426237,0.000140631555041893,0.000146951299927078,0.000152648339599808,0.000153436228065185,0.000214972006253276,0.000206348345592989,0.000216235573393805,0.000216354410266411,0.000216592084011623,0.000220798909301874
822,6.29112625427664E-05,8.57546858511362E-05,0.000115679336352663,0.000128465880605223,0.000131359130761044,0.000137875277346655,0.000148455148319251,0.000153299188860344,0.000148197477075849,0.000166404953357766,0.000168462150491327,0.000168196133620608,0.00023356322781817,0.000233805729857822,0.000233945817173495,0.000237594048543356,0.00023696514591342,0.000247683315852978
823,5.60939608090391E-05,9.42835674039876E-05,0.000115612605541156,0.000126654258879357,0.000124705731819674,0.000127628522409198,0.00012957704946888,0.000141592966336922,0.000145184369152807,0.000151660356145281,0.000149062320065704,0.000158155446344222,0.00020337085704882,0.000209371142883522,0.000215484168953114,0.000226181964574899,0.000223125451540103,0.000220068938505307
824,5.79628052522024E-05,8.4939219151258E-05,0.000106785580208424,0.00011531077783747,0.000121045686993304,0.000126440686559086,0.000136427779472366,0.000140124177911259,0.000135545005917996,0.000144657568209779,0.000145652679572299,0.000152009651682629,0.000208077629133744,0.000209838337125933,0.000217714793659628,0.000215443531479992,0.000213664617453078,0.000222248406740117
825,6.49767070281486E-05,7.96092031350678E-05,0.000119725297601631,0.000135638760468685,0.000137774228950466,0.000139112151070927,0.000151983063468029,0.000153656894844173,0.00016103025801847,0.000168820118040926,0.000171619785164378,0.000169667828544398,0.000244904381611283,0.0002376222747043,0.000245710168747782,0.000242067572215567,0.000247970730090375,0.000255126684188424
826,7.28898101057195E-05,8.89129048048199E-05,0.000109202740393778,0.000121400008389002,0.000123474988353133,0.000127693987019852,0.000145585837409737,0.000145032254898607,0.000141380631518904,0.000161911112923299,0.000155126545653275,0.000161368029390828,0.000229989176578387,0.000218038896128057,0.000222885643887771,0.000236155529463891,0.000228484350582483,0.00024220750757238
827,5.47783148308392E-05,7.77076612000654E-05,0.000126310540627444,0.000137496340689628,0.000143528816208857,0.000149717337037486,0.000156790433730446,0.0001600568545628,0.000160532386359148,0.000168756460339631,0.000174465995463946,0.000176857732874897,0.000241092069398348,0.000242026218566122,0.000251153170368913,0.000253110635166731,0.000250399692837417,0.000252818179263873
828,6.31070480421815E-05,7.67069470746678E-05,0.000117524730934351,0.000123647181147351,0.000127100862803111,0.000129723215210562,0.000145217886344624,0.000150167448469136,0.000155296574246548,0.000164375912086947,0.000157242550142656,0.000157608437447553,0.000222582886937395,0.000222540676686855,0.000221143861274511,0.000225108346538934,0.000230777330740071,0.00023775726518396
829,8.71011097401775E-05,0.000101611927117794,0.00012430670853304,0.000136252724485039,0.000137471061154394,0.000145528544594538,0.000156729011241409,0.000158556037715722,0.000164463346375925,0.000178488714709174,0.000170389120653593,0.000179314657007409,0.000233745294674912,0.000243572753879194,0.000245584830611451,0.000250639230416207,0.000248467268459563,0.000253661286347587
830,4.49074085578132E-05,7.54251313626928E-05,0.000113945064647358,0.000121848768553533,0.000119214200584808,0.000131069756444071,0.000137326855369793,0.000144901238279877,0.0001476132935418,0.000157086115135231,0.000154122226170415,0.000154451547166506,0.000216488064643185,0.00021580211155586,0.000215414675089871,0.000213864929225915,0.000216576984487838,0.000221613658545695
831,7.62204822262626E-05,9.80229905087713E-05,0.00011498882099594,0.000121893348595522,0.000131324989912132,0.00013038311249825,0.000143494766661451,0.000146346133258669,0.00015165407116294,0.000162347755552444,0.000155561605988487,0.000162437825796941,0.000221091864325641,0.000225269465950965,0.000231736358127284,0.00023041936463632,0.000230337620212743,0.000235714586741369
832,5.63360685985703E-05,7.57104597820246E-05,0.000108766044998961,0.000118874719633541,0.000123568768140027,0.000124083466441177,0.000136415637736724,0.000139318536155209,0.000135492813959133,0.000145824322681741,0.000144486107098752,0.000151588943654618,0.000199264181638557,0.000209706253710793,0.000210626655378731,0.000214114493278287,0.000209996906869089,0.000219758008768541
833,7.07838450083383E-05,8.2722654279241E-05,0.000114719860302215,0.0001272176072455,0.000134038788128334,0.000137128989770708,0.000152797035556128,0.000153494656328237,0.000148631221233098,0.000162026299993054,0.00016355331434978,0.000160594885519914,0.000227266803445405,0.000224478861780551,0.000233151245496561,0.000235601277489236,0.000233652802914416,0.000228603791574671
834,5.27579489120361E-05,8.77192072233301E-05,0.000111093166709059,0.000121705051290223,0.000130327207512418,0.000136628013982484,0.000139612606520937,0.000146576655777326,0.000146303555806487,0.000152877462247392,0.000157188540358489,0.000162494482649071,0.000225611275675358,0.0002165292625936,0.000217699691040052,0.000221210976379408,0.000221210976379408,0.000227063118611667
835,6.97596371334423E-05,0.00010722507115729,0.000114492910071456,0.000126832681225601,0.000123686591612546,0.00013240282311505,0.000145651898844729,0.000143446053611889,0.000159053202245003,0.0001538587634575,0.000158947547122508,0.000157233156260901,0.000219539670863416,0.000232270765300451,0.000236220331946581,0.000233600697957487,0.00023962926621614,0.000237541068872193
836,6.67225787549368E-05,9.95582853130215E-05,0.000107812381571795,0.000122178648874208,0.000129035876713464,0.000133200754088205,0.000127724753882192,0.000138467744163691,0.000138162658806606,0.000147645603982594,0.000153950145127244,0.00015343691276305,0.000208641833091361,0.000216260367227775,0.000224079498163835,0.000215023607273997,0.000221738323846866,0.000227020639158133
837,6.45370259802113E-05,9.38072156154135E-05,0.000126992713599811,0.000138416265324761,0.000138232314341952,0.00014987014939262,0.000161337079629473,0.000160504407893462,0.000164613490673397,0.000184251044695465,0.000168783506736749,0.000178767739867489,0.000234233270697487,0.000245261453993655,0.000235770749761723,0.000251571195256285,0.000255028813750421,0.000255689180128004
838,5.81929270647711E-05,7.95334386974113E-05,0.000112109944839706,0.000123095318084083,0.00012233413916158,0.000128145447473765,0.000137699218821589,0.000147036346937624,0.000141884669620799,0.000150366016788367,0.000154621787661489,0.000149676076406047,0.000206102231536281,0.000200990270357287,0.000205204882460617,0.000206486142909354,0.000202153278273569,0.000213655920241225
839,6.91695130969329E-05,8.46532066445357E-05,0.000119809980867293,0.000127963599229326,0.00013915648407592,0.000137123319600041,0.000149720555167088,0.000151355470931198,0.000154688183834959,0.000168417284161774,0.000168731691039488,0.000166467961519952,0.000227300709953408,0.000234535201092666,0.000239294458143543,0.000241291866543133,0.000237568302736489,0.000238456039802974
840,4.33891940356012E-05,7.61379568871069E-05,0.000106931982351728,0.00012645652284252,0.000129397677563393,0.000127443910498814,0.000144941155057005,0.000150524096964661,0.000156999580467759,0.000162984614063359,0.000144463217414864,0.000147635462863805,0.000207942910542026,0.000213419084157441,0.000206903437827273,0.000218152118855316,0.000217012112456154,0.000222931495276734
841,8.60588160372325E-05,8.50673550229787E-05,0.000122049842315661,0.000131178223873896,0.000132868664903199,0.000144025575696597,0.000148082634166924,0.000154844398284135,0.000158304830508825,0.00016431086804823,0.00015788719213688,0.000168706014724418,0.000221142941210429,0.000218365205902877,0.000217967455072453,0.000228706727493906,0.000218365205902877,0.000223138215867967
842,8.59399767394972E-05,8.7579150166857E-05,0.000121555969442407,0.000147399441253242,0.000143012606086454,0.000145880807307742,0.000155348540811723,0.000165774318777417,0.000153583722066463,0.000181497519060814,0.000170719766040044,0.000176505603181366,0.000219362018461854,0.000225974731741851,0.00024072255633974,0.000235061410956198,0.000238960354725591,0.000243164048873139
843,8.32877983077733E-05,8.64371441873074E-05,0.000120876032960127,0.000131209455513656,0.000134852955556285,0.000137545775416632,0.000146582544504518,0.000154546895926907,0.000160440988178079,0.000171598104611474,0.000174925816959221,0.000171968956127102,0.000239612994726135,0.000234752950885064,0.000250176284148931,0.000248954421478794,0.000250061161348646,0.000246247279561597
844,6.19850199881643E-05,8.01327343666011E-05,0.000108946195156519,0.000119804503822348,0.000119202762149772,0.000130529683799555,0.000144133771668239,0.000139074215857114,0.000141119542380326,0.000149682242588332,0.000160045312532484,0.000147081906477799,0.000228713995835901,0.000215383815108913,0.000222318645121282,0.000227200552444088,0.000220054282749788,0.000220432133292498
845,7.95297325044515E-05,8.8634378397104E-05,0.000124576426481312,0.000139644614944822,0.000140294709362802,0.000143591188134588,0.000150221484434475,0.000166502182332956,0.000154897398845933,0.000173430521919855,0.00017465536647968,0.000184167414650857,0.00024073223106685,0.000244080547647075,0.000247867764358997,0.000254741311674288,0.000252077003148595,0.000251132160039748
846,7.13736679723396E-05,7.81678939631863E-05,0.000126132318579181,0.000136400642316115,0.000139258218567336,0.000138312675011958,0.000153370555872229,0.000157168688634759,0.000163790955117698,0.000168492270896576,0.000164678179593028,0.000171544341866467,0.000231510031332258,0.000236590064295698,0.000235719385072454,0.000242261213468123,0.000242105148324335,0.000235038800234877
847,6.99633004336296E-05,7.41567861493227E-05,0.000126798236364342,0.000137078304159229,0.000130428863283288,0.00013932161835305,0.000147760880481716,0.000158800347698673,0.000154203384620526,0.000169233368734048,0.000165181449556215,0.00016934875451196,0.000236257109199753,0.000232381589934016,0.000238013552390778,0.000239926651745485,0.000238957474349619,0.000240289698652732
848,7.37629675689342E-05,8.24201175032429E-05,0.000107725321147482,0.000116011884312673,0.000123953174012647,0.000126715361734378,0.000141907394203894,0.000139835753412597,0.000130391508628739,0.000153301418556032,0.000155027785882113,0.000150539230834302,0.000209428167426273,0.000203914446515972,0.000212444732127198,0.000207570283206498,0.000209601303590123,0.000206351670976323
849,5.45030866098415E-05,8.21799793878286E-05,0.000110969957947885,0.000121804615336634,0.000132151956800851,0.000132809833298969,0.000144391708438666,0.000151460496655063,0.000154880467073139,0.000158632162677751,0.000156975288534344,0.00016111476658217,0.000223277682434679,0.000223400908147943,0.00023679094832265,0.000227235734116151,0.000227082850688848,0.000231366771724761
850,7.9159641255814E-05,9.4426670947641E-05,0.000124480751163233,0.000130252962177613,0.000138331011576102,0.000144413916798116,0.000146567454100051,0.000152284836724848,0.000154089276056075,0.000160914216040805,0.000164965424826623,0.000164194781350825,0.000222975442272975,0.00022474025492855,0.00023978521281072,0.000236292441326205,0.000240255853017593,0.000247798041510489
851,7.34053036011082E-05,9.3109374799039E-05,0.000115496502680546,0.000131735600918212,0.000130948700770764,0.00013965740305194,0.000148212131797771,0.00014982715067182,0.000153915023798381,0.000163346163334865,0.000164930864411025,0.000164080944121898,0.00022907723772939,0.000236490044924351,0.000233952807932502,0.000239396786339906,0.000239606385920816,0.000240006348409817
852,4.84632598554391E-05,0.00010033686832794,0.000128638571137229,0.000131096439436508,0.000139968394722957,0.000143037827640742,0.000153691549638171,0.000163087312922827,0.00015166931090654,0.000169388033381051,0.000169183154111869,0.00016532152135325,0.000214430225713496,0.000230202346852145,0.00023678419380561,0.000235135116550729,0.000235621202659963,0.000236702643821995
853,7.45696416947383E-05,9.06584318757395E-05,0.000127147889618881,0.000140189066098178,0.000141138557057913,0.000139933276507732,0.000163682828401459,0.000162648415297695,0.000168656220640732,0.000173865300417932,0.0001746961050077,0.000181288314332674,0.000236884643076021,0.000239535817082239,0.000245727730744611,0.000244176141181859,0.000251300934527034,0.000258436561313687
854,4.95358348461215E-05,0.00010854649346191,0.000120936847115699,0.000126605504345267,0.000135380387992782,0.000138472882198447,0.000150606664969878,0.000156025395935933,0.000160834901343031,0.000163723674140623,0.000171850397368478,0.000170644709130212,0.000232295003417158,0.000231340925856487,0.000231760969996845,0.000232365187337206,0.000239173133519775,0.000238504294003975
855,6.09700840976415E-05,9.45088060800453E-05,0.000125662552277034,0.000135193139107033,0.000142605817752589,0.000147547603516292,0.000154254312767033,0.000155313266859255,0.000153652162400867,0.000171550562939995,0.00017366847112444,0.000171550562939995,0.000237252009732841,0.000225494930226138,0.00022923241525751,0.000240444870351628,0.00023878376589324,0.000243351803153806
856,7.39306321969936E-05,8.35246628659698E-05,0.000129986561918671,0.000138283378459848,0.000147104563735302,0.000148257761247569,0.000162178872023465,0.000163462386025908,0.000156823910702848,0.000172823453903519,0.000170692882714933,0.000178688730219276,0.000232167152175741,0.000240110870889832,0.000242577271688952,0.000242801158095976,0.000241502860290026,0.000251285722857826
857,6.46801427199922E-05,9.56465695279031E-05,0.000113249651668601,0.000123081799838281,0.000125667611953916,0.000134506476596019,0.000147268305994529,0.000152786238127032,0.000148153299135663,0.00016415029358214,0.000161204586031925,0.000160824135098177,0.000227976991852529,0.000223031059832571,0.000223455695867222,0.000229383385377949,0.000226829420964912,0.000233436692083217
858,6.70151291174092E-05,0.000106702989082713,0.000126794581956926,0.000138199738907658,0.000142271336241151,0.000153606576520921,0.000164298933011193,0.000169162336643334,0.000172496765500162,0.000181119835294669,0.000182055320352145,0.000182076295353434,0.000245096901670775,0.000253869488636957,0.000249067858439984,0.000257304042279348,0.000258226119786981,0.000249295293257879
859,5.87839912015111E-05,8.4094789973682E-05,0.000116369238821095,0.000131710831233015,0.000127454519548418,0.000134696539528023,0.000148964618845108,0.000152671593750708,0.00015176939380945,0.000156083981566807,0.000165325210015015,0.000163392047762208,0.000226174346534778,0.000234945691606477,0.000237587540238296,0.000231571229488524,0.000241012569953777,0.000239814981241594
860,6.59161451648747E-05,9.71176865297347E-05,0.000125852754304079,0.000134882447357565,0.000138350209777108,0.000141255023751921,0.000160350234997199,0.000156972544328812,0.000160884042581261,0.000165799575942196,0.000167173170147339,0.000171068773384878,0.000223961194372683,0.000228967689779325,0.000234583928380878,0.000235643596041548,0.000240809475887315,0.000240412100514564
861,6.53038123165036E-05,0.000106640940478689,0.000128957128201459,0.00015570897799758,0.000159460899523439,0.000157549649807106,0.000173000565165292,0.000179250944592119,0.000174382231482078,0.000186986283178165,0.000190565994611416,0.000192615577025091,0.000250410413351198,0.000259248427940063,0.000256641197029782,0.000257159321898577,0.000268265793445051,0.000271590428019818
862,7.7452297953651E-05,0.00010174584645387,0.000141029099124967,0.000150817751249322,0.000156618433989681,0.000160968946044949,0.000172570311525667,0.000174383024882029,0.000168902232733969,0.00018960981707547,0.000192147615774377,0.000190697445089287,0.000255562866634649,0.000263589848054528,0.000266148972792921,0.000259751160946938,0.000266148972792921,0.000272973305428637
863,5.14434144855299E-05,9.93176676019321E-05,0.000119038628677728,0.000130834576619511,0.000132840997507812,0.000134665663197757,0.000147507681664711,0.000149961554685165,0.00016654232800591,0.000161540890267265,0.000156807785718317,0.000166946595755723,0.00024251558040709,0.000241851789967873,0.000240720292197982,0.000241708678933367,0.000237360948966958,0.000248031090103964
864,7.27521075618659E-05,0.000107007698017012,0.000135375062020769,0.000146141801792606,0.000147499221307499,0.000148487963393557,0.000164357899660922,0.000169313768221747,0.0001663434191373,0.000176406607019927,0.000169617006300943,0.000179257688630105,0.000238759538427409,0.000252178558616316,0.000243115071965091,0.000261801150993472,0.000250717900166026,0.000257236172639757
865,7.19075930572048E-05,9.25682143182022E-05,0.000140905437000002,0.000138698041120106,0.00014200913493995,0.000154149812279375,0.000164083093738906,0.000166658388932117,0.000172696265897714,0.000174752173825068,0.000178063267644911,0.000172544777945172,0.000233404974185681,0.00023935096501613,0.000254932582991863,0.000242813546788515,0.000241082255902322,0.00025103717849793
866,7.65688086909652E-05,0.000112282246164429,0.000130503509160606,0.000145125783513096,0.000144836348153783,0.000147394956730109,0.000161959344010735,0.000164280615592425,0.000157858044969272,0.000178781327094003,0.000176801589236303,0.000176813166650675,0.000257958077777158,0.000248747558037279,0.000256776835416806,0.000252993745014493,0.000256184344210684,0.000256518046154363
867,6.66343740183028E-05,0.000111413271952407,0.000123887218605991,0.00013924264618831,0.000141121482493699,0.000143139491858747,0.000155943413347327,0.00016025777819674,0.000158821021022031,0.00016515203079473,0.000174383843752076,0.000172412225406914,0.00024225998991371,0.000229990303294446,0.000235366203834195,0.000233128519345568,0.000246772936959145,0.000253677012271615
868,8.63607432095393E-05,0.00011430164019966,0.000137231036807815,0.000160249496440204,0.000154693878986411,0.000157429822128659,0.00017220674238303,0.00018123122256487,0.000193882752779321,0.000194031217289589,0.000185563495012689,0.00019560253598615,0.00027973376806891,0.000278029699464683,0.000284061669873219,0.000281597709108247,0.000283674037416425,0.000288887246200048
869,4.92945061691148E-05,8.30803803586611E-05,0.000125207281671141,0.000134039501909899,0.00013141855553506,0.000141350601312404,0.000162577964988173,0.000161262559028404,0.000164325155103592,0.000169573732350877,0.000168709218322873,0.000166143080529691,0.000239894466408824,0.000244842185591991,0.000253268091545399,0.000252930642630883,0.000249217414957523,0.000263894078447204
870,7.89146148501512E-05,9.99273175517394E-05,0.000138809832529958,0.000142565738404672,0.000146693732856717,0.000157947223564666,0.000163536212871823,0.000170814922071334,0.000173570952551044,0.000178829053400159,0.000192008649684884,0.000180582247226293,0.000253861647931649,0.000252283780453314,0.000256856993694429,0.000259419126112735,0.000259043175024219,0.0002614096068759
871,8.54214868695571E-05,0.000127165608606147,0.000155967533534701,0.000167254385815778,0.000172015288726181,0.000179104990394368,0.000182393053532736,0.000194937280048055,0.000194325260692118,0.000204122605439978,0.000218786068340709,0.000215799066638708,0.000285877720724425,0.000278691911879989,0.000283077616541263,0.000281803227300814,0.000280334380846563,0.0002889182778558
872,7.60246700054168E-05,9.68701440391601E-05,0.00011859848520845,0.000128481692309154,0.000124680458808883,0.000134183542559561,0.000149388476560644,0.000153189710060915,0.000148918912422375,0.000161552423761511,0.000160031930361402,0.000162692793811592,0.000224335091819263,0.000235229273075584,0.000227179602133834,0.000241042924311292,0.000227626806075042,0.000231651641545917
873,6.90991691882978E-05,9.80581892964856E-05,0.000129088236083405,0.000153923715339827,0.000152466952241675,0.000165251400736847,0.000172452398965686,0.00017545172682974,0.000171909237103737,0.000180309593427469,0.000183362267545823,0.000188140674338197,0.000258226326421657,0.000249039889256604,0.00025630691746454,0.00025601593789564,0.000259565186423092,0.000263410242234768
874,6.45538072026855E-05,0.000107377108586405,0.000132763102564762,0.000137552264261383,0.000140036976840505,0.000153485530521018,0.000158508547519205,0.000166639141697795,0.0001691227079274,0.000175945383442104,0.00017063979128786,0.000178768136857782,0.000248635910131693,0.000255369195681785,0.000255075112940187,0.00025450061547047,0.000258551197400093,0.000257967440953503
875,0.000106757217321677,9.43934782452903E-05,0.000150930203636417,0.000161325906437905,0.000160170828348851,0.000165561192764437,0.000190972910723629,0.000193668092931423,0.000171223340259801,0.000198288405287639,0.000205988925881334,0.000211764316326605,0.000288453927157254,0.00027223605157709,0.00027268902337672,0.000285825205565964,0.000289448979962996,0.00028763709276448
876,5.90588812673145E-05,0.000107491594430235,0.000140169799414899,0.000148285863163383,0.000154594999837558,0.000169857188219387,0.000175105737262989,0.000175404877363921,0.000181798263834792,0.000190337709473008,0.000195498631618357,0.000192930257014407,0.000259641124861475,0.000264238645066929,0.000274373504576773,0.000279986602846168,0.000278372703787077,0.000280135906283353
877,8.65238478795081E-05,9.60288938912096E-05,0.000134101212394339,0.000142674373253557,0.000148719159015813,0.000161739045817721,0.000167087792777545,0.000177621179987677,0.000176176708070283,0.000189513823460769,0.000186782861460334,0.00018874987843371,0.000260630027276503,0.000261649340962666,0.000265087260021258,0.000263173902280283,0.000264147224833277,0.00027203766183607
878,5.76598587692513E-05,7.58140835680725E-05,0.000126666451593146,0.000147747034273688,0.00014317733054008,0.000152378357118736,0.000169319809115982,0.000170236488489879,0.00017497948199041,0.0001886670690136,0.000183174600067928,0.00018341346921598,0.000253130337060583,0.000256355193068333,0.000266531072473953,0.000268413654912802,0.000262472802890419,0.000273600489485825
879,7.056542559491E-05,0.000107184673907165,0.000115402521603384,0.000126525463631187,0.000138324322481045,0.000138294636944941,0.000143899494511609,0.000155741739914234,0.000150138964364803,0.000161000646810155,0.00016663290641015,0.000171157667163196,0.000231403058893095,0.000227658510703461,0.000231263758617602,0.000235414360724418,0.000226469746022383,0.000230362446639067
880,0.000103088038870267,0.000111202065155539,0.000151498181923744,0.000151203963088482,0.000161158367014852,0.000154464888512637,0.000171970909210736,0.000176776483520018,0.000171368049048287,0.000194208949509302,0.000187883244551165,0.000190678323486156,0.000267610519832719,0.00025954716467539,0.000270508258538098,0.000268979474394089,0.000267969899959366,0.000272498562423695
881,7.25291426146949E-05,8.94790961093328E-05,0.000124543617740377,0.000148870152054303,0.000149180611994372,0.000154323181100664,0.000166895271743065,0.000166498743700798,0.000168639235704605,0.000174023554921482,0.000171887221670512,0.000180368003597745,0.000232630792619512,0.000251698570631876,0.000248288393305316,0.000252414599381249,0.000252526704892514,0.000258909486421016
882,7.27348742093948E-05,9.97464835137207E-05,0.000138592253402063,0.000145836159821961,0.000141411922842962,0.000150791135402087,0.000158287480400267,0.000162525283383379,0.000168607082291709,0.00018371005239013,0.000182049130062383,0.000173558856411183,0.000250305499504508,0.000261386320225366,0.00026157114213823,0.000253713259140231,0.00025988276898829,0.000267169838363514
883,7.31545576937157E-05,0.000122114765646163,0.000134902359473714,0.000147470122035568,0.000154780412465595,0.000151560297752299,0.000159754563977465,0.000173837492746992,0.000187159859919686,0.000187697011805284,0.000180318306982716,0.000188619639799599,0.000249322525746011,0.000274739831738132,0.00027621816467365,0.000264496089493164,0.000282958198746315,0.000284745294543479
884,8.26638604194319E-05,0.000124014793971475,0.000139770828192037,0.000148918239725216,0.000155532610923653,0.000157595841127784,0.000168762510488339,0.000176856899314977,0.000181002827369916,0.00018631558898888,0.000186570165906945,0.000183288437999533,0.000270938512090552,0.000263643668194425,0.000268315903396548,0.000267538558903421,0.000263114093749895,0.000283752521973728
885,7.05782202127336E-05,0.00010145984014039,0.000132578472122689,0.000135763540522033,0.000144522478620228,0.000142929944420556,0.000153281416718424,0.00016204035481662,0.000154569495850512,0.000165623556765882,0.000171595560014651,0.000173188094214323,0.000253239044865866,0.000246374408537482,0.000235601383069113,0.000244032446479141,0.000239816914774127,0.000253400294712505
886,6.82899107772709E-05,9.52349247234761E-05,0.000140216748304521,0.000147145969088476,0.000149571059814958,0.000157662108170256,0.000178207105394729,0.000170450014192242,0.000178307691857123,0.00018567315449909,0.00018656734818395,0.000188938209886788,0.000264670125476706,0.000263765105776121,0.000270139483096395,0.000266469442698,0.000278576536948732,0.000273883420006062
887,9.01528193091139E-05,9.93965991691495E-05,0.000150183726772849,0.00016112269862305,0.00016027096248171,0.00017087613525536,0.000189885835951738,0.000182019617807391,0.000189294773750944,0.000201922191855247,0.00020004633507294,0.000205614354410896,0.000294444799985261,0.000281597915799937,0.000285019333288525,0.000285456747433301,0.000287926362804963,0.000291378662008725
888,8.42272345320529E-05,0.000119548332884204,0.00014139189240359,0.000149448410489264,0.000156699276766371,0.000172006661129153,0.00017925752740626,0.000176437746076274,0.000175821659399134,0.00018892534910907,0.000182077308736247,0.000199398822620447,0.000266789615296111,0.000269656399455815,0.000269656399455815,0.000261599881370141,0.000275343353398645,0.000281978132998612
889,7.10303720548295E-05,0.000116308044952962,0.000149681672192921,0.000157379622892855,0.00016246627696932,0.000166272573742511,0.000185869943922753,0.000187570764241671,0.000198582766866318,0.000198920104287979,0.000203045700042975,0.000210212539565254,0.000284275081154451,0.00029017712941603,0.000293911272429792,0.000291847079827564,0.000293383136664898,0.000297273488848558
890,8.8102974660439E-05,9.59065509509411E-05,0.000134864809924129,0.00014738718512402,0.000155890382943234,0.000152811536939143,0.000163920458057247,0.000173591086151543,0.000176282736882922,0.000186896479428541,0.000187149600075822,0.000184977966858953,0.000250677472656985,0.000253749622172642,0.000259862645831305,0.000262187904773628,0.000258530944569903,0.000270588615865671
891,4.37676828590989E-05,9.47927016193348E-05,0.000121654688384969,0.000142193512960428,0.000139473280941786,0.000141676565566877,0.000157565645023705,0.000162804257196327,0.000168306496879546,0.00017144812621963,0.000170391980045872,0.000172294473604922,0.000241118787681321,0.000243033291287611,0.000252535007362419,0.000258574669454641,0.000255502949670741,0.000261264936895875
892,8.41960527262952E-05,7.91812466863101E-05,0.000143057144084772,0.000149700407368229,0.000152130089801062,0.000161187050764506,0.000179655834204609,0.000179729364067707,0.000189737135741708,0.000195301710291828,0.000198984597347912,0.00019336116129613,0.000276033097616262,0.000277517876144026,0.000289448143445801,0.000283193403684498,0.000286819121742163,0.000296921485541838
893,8.35713700872371E-05,0.000107346071689825,0.000139719368715973,0.000142549594451679,0.000154956653340415,0.000155012875068892,0.000174982354541371,0.000165136374815842,0.000172490233192818,0.000185695584333842,0.000184291237328889,0.000191619201342811,0.000262718430680593,0.000267338188992834,0.000262516771176449,0.000260742162925877,0.00026599984446762,0.000264467292219505
894,6.77488901894803E-05,9.47630108223387E-05,0.000131525617586123,0.000140921569230382,0.000145975263307481,0.000155640820416479,0.000164798151104634,0.000168055548473382,0.00018728656071505,0.000182983643295597,0.000190365199482419,0.000183692263032023,0.00026695558670648,0.00027686563929069,0.000266912723942716,0.000283291196749691,0.000275746504402818,0.000278453447418406
895,7.16754794210863E-05,0.000110016427474183,0.000139258936567736,0.000149164313152856,0.000153720037164799,0.000154698853199196,0.000178136059356129,0.000177472639599483,0.000175750435178179,0.000189782761750588,0.000193930041540771,0.00019227813843087,0.00025945459388974,0.000260912405996542,0.000264568927188216,0.000267341173037268,0.000269442393224397,0.000283171407667628
896,8.07989911516043E-05,0.000107462314779633,0.000152746766317904,0.000171667689663127,0.000167893915405827,0.000182494517877175,0.000187491515514428,0.00020032234798925,0.000209922890937538,0.00020557960592011,0.000205189215479699,0.000204200226363993,0.000271353355301646,0.000295104554092181,0.000303555358919888,0.00029988109595132,0.000302024416016318,0.000300585329686962
897,5.13288203485498E-05,0.000105623442017333,0.000151562683383706,0.000173071030683497,0.000168156058733082,0.00017824500687291,0.000182242468523857,0.000196380190475187,0.000195952086076822,0.000207456286846667,0.000205662804663419,0.000215019943656267,0.000277864762649496,0.000294701404812129,0.000298156711085995,0.000307956327631427,0.000307654491392861,0.0003073066610608
898,8.69358333885526E-05,0.000110795722996396,0.000142284609220513,0.000163501543385489,0.000161971864943092,0.000173324334280816,0.000185399968907815,0.000190725652266961,0.000187255828782782,0.00020016970066333,0.000191986901559611,0.000203053781893265,0.00027860651065382,0.000277750267254745,0.000287945239528261,0.000290519217676526,0.000288871006458898,0.000285013644247914
